self-play´ÎÊý,loss,entropy
4,3.1010890007019043,1.9018126726150513
5,3.991546392440796,2.684699296951294
6,3.5124778747558594,2.1991055011749268
7,3.288425922393799,2.089667320251465
8,3.0313379764556885,2.3104445934295654
9,3.111104965209961,2.442713975906372
10,3.093193531036377,2.5006513595581055
11,3.2358767986297607,2.476499080657959
12,3.1990113258361816,2.6076197624206543
13,3.1074275970458984,2.5516610145568848
14,3.1635358333587646,2.5359225273132324
15,3.1101126670837402,2.508012533187866
16,3.050384759902954,2.555187463760376
17,3.002075672149658,2.5225791931152344
18,3.0221099853515625,2.5892117023468018
19,3.0845866203308105,2.559128522872925
20,3.0362889766693115,2.5712404251098633
21,3.0603814125061035,2.64635968208313
22,2.9624829292297363,2.5748727321624756
23,2.9527013301849365,2.527210235595703
24,2.9550023078918457,2.5766022205352783
25,3.14603853225708,2.646054744720459
26,3.0991721153259277,2.600924491882324
27,3.0177700519561768,2.592160701751709
28,3.06866717338562,2.6034138202667236
29,3.019122838973999,2.5833144187927246
30,3.0018835067749023,2.5061259269714355
31,3.0064024925231934,2.6151444911956787
32,2.9608888626098633,2.6031391620635986
33,2.8715405464172363,2.5238428115844727
34,2.914891242980957,2.512662172317505
35,2.91975474357605,2.529057264328003
36,2.9014296531677246,2.51707124710083
37,3.0108087062835693,2.5884804725646973
38,3.0152735710144043,2.592642068862915
39,2.957547187805176,2.511585235595703
40,2.962724447250366,2.4945549964904785
41,2.9300425052642822,2.5725796222686768
42,3.0267090797424316,2.612793445587158
43,2.804605722427368,2.487560749053955
44,2.943514108657837,2.489096164703369
45,2.9295966625213623,2.508755683898926
46,2.9409279823303223,2.503251314163208
47,3.0695600509643555,2.5904598236083984
48,2.926717519760132,2.517451763153076
49,3.023441791534424,2.615537166595459
50,3.1015138626098633,2.5812084674835205
51,3.1396689414978027,2.6203038692474365
52,3.076296806335449,2.5460317134857178
53,2.9155638217926025,2.5230050086975098
54,3.0499050617218018,2.582446575164795
55,3.0899806022644043,2.5862390995025635
56,3.096726417541504,2.5638885498046875
57,3.12882661819458,2.611534833908081
58,3.1362125873565674,2.513988494873047
59,3.028545618057251,2.4882967472076416
60,2.9583616256713867,2.537208318710327
61,2.9854788780212402,2.531883716583252
62,3.0101256370544434,2.546532392501831
63,3.1435751914978027,2.5526931285858154
64,3.0086705684661865,2.527906656265259
65,2.985462188720703,2.550819158554077
66,3.017629623413086,2.499462842941284
67,2.9370956420898438,2.473947048187256
68,3.01115083694458,2.5217485427856445
69,2.8563590049743652,2.433220386505127
70,3.075361967086792,2.4754607677459717
71,2.938173770904541,2.455458164215088
72,2.917966604232788,2.4379260540008545
73,2.9166460037231445,2.409343957901001
74,2.87387752532959,2.3966736793518066
75,2.8252904415130615,2.3437719345092773
76,2.8302125930786133,2.347318410873413
77,2.8073301315307617,2.4193296432495117
78,2.7181670665740967,2.357898473739624
79,2.8227758407592773,2.3686201572418213
80,2.6700122356414795,2.2828314304351807
81,2.699246883392334,2.2749836444854736
82,2.738696336746216,2.3048017024993896
83,2.6546924114227295,2.2489705085754395
84,2.7644479274749756,2.36736798286438
85,2.7397537231445312,2.284794807434082
86,2.7001447677612305,2.291548252105713
87,2.6400609016418457,2.2583603858947754
88,2.6815013885498047,2.2836780548095703
89,2.6242311000823975,2.1997199058532715
90,2.8373615741729736,2.3839588165283203
91,2.79232120513916,2.3406918048858643
92,2.9352807998657227,2.342074394226074
93,2.666658639907837,2.2051007747650146
94,2.8126752376556396,2.283550262451172
95,2.6687886714935303,2.157881021499634
96,2.6789491176605225,2.2498950958251953
97,2.6134228706359863,2.238785982131958
98,2.621077060699463,2.1974871158599854
99,2.5927419662475586,2.159857988357544
100,2.5868451595306396,2.173689603805542
101,2.6461119651794434,2.2050771713256836
102,2.626676559448242,2.1948165893554688
103,2.6953516006469727,2.1269443035125732
104,2.720810890197754,2.216179370880127
105,2.65234375,2.2344086170196533
